,avg,count,sum,avg_real,count_real,sum_real
1.0,36.25666531101568,3.9785820990800858,144.2501195787449,28.92,3.0,86.76
2.0,36.1507825384842,3.7705074064433575,136.30679331007786,14.287500000000001,4.0,57.150000000000006
4.0,35.5732770700485,4.2172870598733425,150.0227210648046,62.617999999999995,5.0,313.09
7.0,34.84465217166813,3.5742816980928183,124.54460253360357,15.415,4.0,61.66
8.0,34.57352820351254,3.86219983920455,133.5298750683401,23.479999999999997,2.0,46.959999999999994
10.0,36.14187275600678,4.151387140154839,150.03890578039903,78.74,1.0,78.74
13.0,34.78228672682657,4.1461302898824215,144.21189254947095,13.11,3.0,39.33
14.0,35.26399388477905,3.9553544484078884,139.4815950807894,24.01,3.0,72.03
16.0,34.416256847700566,4.1985590942204,144.49868817693832,18.461666666666666,6.0,110.77
19.0,34.395122190697585,3.5968513693660498,123.71414235112321,13.273333333333333,6.0,79.64
20.0,35.708004675402194,3.81839950568974,136.34742740172265,29.055,8.0,232.44
22.0,35.950102883960355,4.09384910017252,147.1742963426106,41.0725,4.0,164.29
25.0,35.786163901278044,3.7588225677609444,134.51384048571595,38.04,4.0,152.16
26.0,36.01087284486566,3.9881193079054356,143.6156572871363,42.567499999999995,4.0,170.26999999999998
28.0,34.873046088198315,4.075197968631983,142.11456657863528,68.14333333333333,3.0,204.42999999999998
31.0,35.42511716774024,4.008370451629162,141.99699290067093,58.864285714285714,7.0,412.05
32.0,35.32730593023298,3.8845858070999384,137.23195121966052,75.866,5.0,379.33
34.0,35.77227648280969,3.5835483577102423,128.19168264152938,27.295,2.0,54.59
37.0,35.51094741426233,3.3384321723133326,118.55088931710031,27.941999999999997,5.0,139.70999999999998
38.0,35.63338708736876,3.816343378275633,135.9892408564122,32.11,8.0,256.88
40.0,35.75736760600063,4.001098684966564,143.06875650623513,21.163999999999998,5.0,105.82
43.0,35.46971200852189,3.9662709459662437,140.68248820119035,34.07333333333333,3.0,102.22
44.0,34.817186120238034,4.145391285419464,144.33085992566228,49.666666666666664,3.0,149.0
46.0,35.915082197700976,3.8556535728275776,138.4761149939619,,,
49.0,36.0936800351768,3.8016941398382187,137.21713187492736,15.825,2.0,31.65
50.0,35.19704264656117,4.063599742949009,143.02669345113128,23.73,2.0,47.46
52.0,35.763880938395744,3.498473670333624,125.11899581192408,31.215,4.0,124.86
55.0,34.739744087707365,4.16117487475276,144.55815025310864,40.84,1.0,40.84
56.0,35.33984430948098,3.7435125559568405,132.29515089810195,42.39,4.0,169.56
58.0,34.417557210261585,4.032975062727928,138.80514994899676,19.374000000000002,5.0,96.87
61.0,36.05676460179209,3.8341479375958443,138.24696963434,41.46,4.0,165.84
62.0,35.34110233939951,3.9731706492602825,140.41623052740604,22.805,2.0,45.61
64.0,35.648497490666344,3.7298209499567747,132.96251277516885,52.40999999999999,5.0,262.04999999999995
67.0,34.56555687486252,4.557376261800528,157.52824837741449,19.006666666666664,3.0,57.019999999999996
68.0,35.29562236224942,4.3821861036121845,154.67198583419287,,,
70.0,35.7232617883489,3.642784198746085,130.1321335702672,47.576,5.0,237.88
73.0,35.847058663271014,4.552974831312895,163.2107558704698,41.92,4.0,167.68
74.0,35.5355741120514,4.086216911673546,145.20606390269307,5.655,4.0,22.62
76.0,34.95333745841344,3.991692326962948,139.52296893449554,37.075,2.0,74.15
79.0,35.82259099379357,3.5741603933274746,128.03568591638646,45.29750000000001,4.0,181.19000000000003
80.0,35.859226320676385,4.118460230529308,147.6847974992555,49.53333333333333,6.0,297.2
82.0,34.537296917538626,3.859363030642271,133.29196690186384,46.041999999999994,5.0,230.20999999999998
85.0,36.642319497416025,4.186320584267378,153.39649636733458,18.993333333333332,3.0,56.98
86.0,35.190503293641385,3.7836553528904915,133.1487361578967,38.2,3.0,114.60000000000001
88.0,35.632062455560664,3.5233173985034227,125.54306559423748,6.34,2.0,12.68
91.0,36.049558994084364,3.8362618070095778,138.29554632854445,63.114999999999995,2.0,126.22999999999999
92.0,35.83204054053,3.953005187213421,141.6442421251567,33.845,2.0,67.69
94.0,35.74066140426555,3.8908515125513077,139.06160648437077,36.87,5.0,184.35
97.0,35.7664639648993,3.837765660136938,137.2633071890158,37.0375,4.0,148.15
98.0,35.81366116575256,3.90188442543149,139.7407667203305,40.18,2.0,80.36
100.0,35.82675228617794,4.277571104466915,153.25148034624877,30.560000000000002,3.0,91.68
